name,id
Lakshya SEN,0
LOH Kean Yew,1
Kunlavut VITIDSARN,2
LEE Zii Jia,3
Akane YAMAGUCHI,4
An Se Young,5
Viktor AXELSEN,6
PUSARLA V. Sindhu,7
HE Bingjiao,8
CHEN Yufei,9
Kento MOMOTA,10
Anthony Sinisuka GINTING,11
WANG Zhi Yi,12
Jonatan CHRISTIE,13
Ratchanok INTANON,14
Chico Aura DWI WARDOYO,15
LU Guang Zu,16
NG Ka Long Angus,17
Gregoria Mariska TUNJUNG,18
ZHAO Jun Peng,19
PRANNOY H. S.,20
Kenta NISHIMOTO,21
Anders ANTONSEN,22
Busanan ONGBAMRUNGPHAN,23
Supanida KATETHONG,24
KIDAMBI Srikanth,25
Aakarshi KASHYAP,26
LI Shi Feng,27
Kodai NARAOKA,28
SHI Yuqi,29
LIEW Daren,30
Carolina MARIN,31
Rasmus GEMKE,32
Pornpawee CHOCHUWONG,33
LEE Cheuk Yiu,34
CHOU Tien Chen,35
CHEN Long,36
Mia BLICHFELDT,37
Sameer VERMA,38
Neslihan YIGIT,39
Hans-Kristian Solberg VITTINGHUS,40
Evgeniya KOSETSKAYA,41
Michelle LI,42
